t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
6.0801,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.17
6.1011,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.91
6.1208,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.73
6.1405,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.28
6.1611,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.28
6.1809,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.76
6.2007,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.06
6.2208,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.34
6.2406,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.28
6.2602,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.25
6.2808,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.68
6.3007,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.51
6.3208,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.32
